would_take_again,quality,difficulty,last_name,first_name
N/A,2.9,4.4,Hess,Alan
43%,2.7,3.7,Bradford,William
N/A,4.4,2.4,Lawson,Linda
N/A,3.5,1.8,Markley,Phillip
21%,1.7,3.2,Sarikaya,Mehmet
N/A,3.2,2.2,Shi,Lan
N/A,2.4,4.1,Boynton,Paul
N/A,4.0,2.5,Al-Saber,Samer
83%,4.1,2.7,Yang,Anand
N/A,3.2,2.9,Balick,Bruce
N/A,4.3,3.3,Yu,Li Ping
N/A,4.7,3.8,Tanlu,Lloyd
N/A,4.5,3.0,Nash,Linda
N/A,3.8,2.6,Fong,Christina
N/A,4.1,2.5,Brand,Brittany
N/A,4.9,1.4,Kamen,Deborah
N/A,2.4,3.7,Curtis,Steven
N/A,2.4,3.2,Chilana,Ashvi
N/A,3.5,3.1,Mitchell,William
67%,3.7,4.2,Parsek,Matt
N/A,4.7,1.4,Bogen,Hanna
N/A,2.8,4.3,Yang,Mu-Jeung
N/A,4.3,2.8,Duchin,Ran
100%,4.8,2.4,Glass Hastings,Cassady
N/A,3.1,3.2,Rodivilov,Alexander
100%,4.5,3.2,Yoshida,La'akea
100%,5.0,3.2,Ahmed,Manal
N/A,1.7,4.4,Taylakov,Sergiy
N/A,3.5,2.6,Brock,Philip
100%,4.8,3.4,Hauck,Scott
N/A,3.8,3.8,Quay,Paul
100%,3.8,2.7,Rafael,Vicente
55%,2.5,4.3,Morris,Martina
89%,4.5,2.5,Youell,Ryan
N/A,3.0,3.9,O'Hara,Edgar
N/A,3.4,2.2,Ward,Peter
N/A,2.8,3.2,Vaught,Larry
N/A,3.2,2.7,Rumph,Stephen
N/A,4.6,3.0,Kot,Mark
56%,3.9,2.4,George,Laurie
88%,4.4,2.1,Ames,Eric
6%,1.6,4.2,Mashhadi,Afra
85%,4.5,2.3,Evans,Heather
83%,4.3,2.8,Marshall,Colin
55%,3.7,2.7,Naehrig,Natalie
N/A,4.2,2.3,Nestingen,Andy
N/A,2.6,2.8,Ducharme,Larry
N/A,2.4,3.4,George-Falvey,Jane
N/A,2.1,3.2,Zumbrunnen,Craig
N/A,3.1,3.6,Laguardia,Eric
N/A,2.6,2.2,Giambattista,Mike
N/A,2.8,3.5,Brines,Julie
N/A,3.0,2.0,Jones,Chris
N/A,4.3,3.1,Borlik,Todd
N/A,3.0,4.1,Joslyn,Susan
N/A,5.0,2.6,Moore,Collette
N/A,2.4,3.0,Gallucci,Vincent
86%,3.5,3.4,Kahn,Peter
N/A,4.8,2.9,Rivenburgh,Nancy
N/A,2.4,3.8,Mahmoud,Rania
N/A,3.5,3.8,Kolasinski,Adam
N/A,4.2,3.0,Hansen,Traynor
17%,2.6,4.1,Novotny,Patricia
100%,4.5,1.9,Crnkovic,Gordana
N/A,3.3,3.7,Parichy,David
N/A,4.4,2.8,Gutierrez,Brian
100%,4.4,1.9,Marwick,Benjamin
N/A,2.0,3.8,Reynolds,Jane
N/A,3.1,3.3,Cummins,Rebecca
N/A,3.2,3.0,Lee,Carolyn
N/A,3.0,4.1,Callahan,Mary
N/A,1.9,3.9,Coler,Rhea
20%,3.1,2.9,McAbee,Jessica
50%,3.3,3.4,Khullar,Sonal
N/A,3.4,3.2,Freyholtz,Sean
56%,3.5,3.8,Munoz,Francisco
75%,3.7,3.6,Theobald,Elinore
33%,3.7,3.6,Mukherjee,Sharmila
73%,3.8,2.9,Green,Mira
80%,4.2,2.0,Delcourt,Denyse
100%,5.0,2.8,Chen,Jondou
27%,2.4,3.7,Mroczek,Kristine
82%,4.5,3.4,Zalatan,Jesse
38%,2.6,4.2,Chang,Cynthia
13%,3.1,3.4,Garbini,Joseph
80%,3.9,2.5,Harold,Christine
N/A,4.0,2.3,Stecher,Marianne
88%,4.4,3.9,Dunford,Damian
33%,2.0,4.5,O'Malley,Kevin
N/A,3.3,3.5,Ruesink,Jennifer
71%,2.3,3.8,Den Nijs,Marcel
80%,3.5,3.1,Hay,Greg
94%,4.7,2.6,Tourniaire,Guillaume
N/A,3.0,2.1,Brooks,Terry
N/A,4.4,2.9,Woody,Andrea
86%,3.5,3.0,Toro,Tatiana
N/A,3.6,2.6,Wilkerson,John
80%,4.3,3.9,Shen,I.Y.
N/A,2.9,3.3,Prutti,Brigitte
N/A,4.5,3.7,Davis,Larina
N/A,4.2,2.4,Tassone,Giuseppe
N/A,4.1,3.5,Sezgin,Yuksel
N/A,3.2,3.7,Patoux,Jerome
N/A,3.1,2.7,Kovacs,Julia
N/A,2.6,2.5,Faaland,Bruce
N/A,4.8,1.9,Volker,Jaime
N/A,4.4,3.1,Mema,Laureta
N/A,4.1,2.3,Mitchell,Katharyne
N/A,3.3,3.2,Matsueda,Ross
N/A,3.4,3.2,Williams,Michael
N/A,4.5,2.7,Ricci,Joe
N/A,3.3,2.6,Citko,Barbara
N/A,4.1,2.9,Camponovo,William
N/A,3.3,3.1,Gardiner,Stephen
N/A,2.6,2.8,Shea-Brown,Eric
N/A,4.4,3.5,Chang,Edmond
N/A,3.1,3.5,Hol,Wim
N/A,4.6,2.4,Molina,Yamile
86%,4.3,2.5,Duman,Yoav
N/A,2.6,2.7,Lee,Wun Ho
83%,3.7,2.7,Ottinger,Aaron
N/A,2.4,3.3,Miller,Leah
N/A,3.4,3.5,Klevit,Rachel
N/A,4.2,4.3,Gray,Kendall
N/A,4.0,2.3,Rudnick,Dennis
100%,5.0,2.9,Weatherford,Alan-Michael
N/A,4.2,3.5,Brogaard,Jonathan
88%,3.8,3.1,Mackenzie,Sara
91%,4.0,3.3,Tatlock,Zach
91%,4.5,2.9,Abdulcadir,Issa
87%,4.4,2.4,Flores,Rene
47%,3.2,4.0,Fu,Kai-Mei
100%,4.9,1.7,Sisay,Brukab
N/A,4.8,1.7,Winter,Kristi
67%,3.6,2.4,Lambacher,Jason
50%,3.0,2.9,Turnovsky,Carolyn
N/A,3.1,4.4,Holt,Bradley
80%,4.5,2.8,Joseph,Ralina
N/A,4.5,3.3,Grossman,Daniel
64%,3.9,2.6,Bushnell,Linda
80%,4.0,2.3,Yang,Yunkang
N/A,3.1,2.7,England,Kim
100%,4.7,1.5,Hellrung,Alyssa
54%,3.0,4.3,Reagan,Michael
53%,3.2,4.2,Hopkins,Paul
60%,3.4,3.7,Zahorjan,John
N/A,3.7,2.9,Knowlen,Carl
N/A,2.8,3.6,Durran,Dale
N/A,4.2,2.5,Sands,Travis
N/A,2.2,2.9,Yalch,Richard
N/A,3.6,3.1,Hurley,Denzel
N/A,4.5,2.1,Ballasone,Mary Lou
N/A,3.5,2.9,Gillis-Bridges,Kimberlee
20%,2.5,2.2,Lavely,William
N/A,4.9,3.2,Mondal,Sharleen
N/A,3.5,2.8,Howard,Philip
N/A,4.1,3.1,Pevtsova,Julia
N/A,4.2,3.2,Dalcanton,Julianne
N/A,3.2,2.8,Ozubko,Christopher
N/A,3.3,3.9,Kimmey,Deborah
N/A,3.9,2.6,Overaa,Roderick
N/A,3.0,4.3,Greenberg,Ralph
N/A,2.5,3.4,Nyerges,Tim
N/A,3.8,2.7,Barreto,Matt
N/A,3.4,2.9,Giles,David
N/A,2.4,3.3,Hille Ris Lambers,Janneke
20%,2.3,3.4,Young,Glennys
N/A,1.8,4.0,Kim,Jeansok
N/A,4.6,2.5,Maier,Maximilian
46%,2.9,3.6,Flaherty,Brian
N/A,3.8,2.6,Jain,Apurva
N/A,3.5,3.7,Menzies,Benjamin
13%,3.0,2.9,Pratt,Wanda
86%,4.0,3.5,Zhou,Yongpin
N/A,4.5,2.6,Jennings,Chelsea
N/A,4.8,2.5,Bhandaru,Deepa
N/A,2.2,3.7,Berg,Martin
N/A,2.3,4.0,Brockerhoff,Susan
14%,2.1,4.4,Burke,James
100%,4.7,1.9,Waddington,Ed
100%,4.8,1.6,Hinds,Stephen
N/A,3.2,3.1,Dechter,Aimee
N/A,4.8,2.6,Robus,Olin
83%,4.3,3.1,Ewanick,Shannon
100%,4.1,3.4,Hurley,James
N/A,3.3,3.4,Naish,Kerry
N/A,3.8,2.9,Thornton,Judith
N/A,4.2,3.4,Wachter-Grene,Kirin
N/A,4.8,2.1,Boullet,Rene
N/A,2.5,3.6,Goldberg,Jack
N/A,4.8,3.5,Raghuraman,Mosur
N/A,4.9,2.9,Lundell,Benjamin
N/A,4.4,3.1,Leaché,Adam
N/A,1.9,3.7,Zhang,Qing
N/A,3.1,3.4,Carlson,Rachel
60%,3.0,3.3,Crowther,Greg
N/A,2.9,3.2,Ozonder,Sener
79%,3.9,3.6,Porter,Riley
67%,3.0,3.5,Heald,Andrea
N/A,4.2,3.6,Detwiler,Jason
N/A,4.3,2.5,Mayo-Wilson,Conor
83%,4.4,2.6,McCue,Frances
43%,2.7,3.9,Liepkalns,Justine
100%,3.7,2.9,Wang,Haicheng
29%,2.4,3.9,Toomet,Ott
86%,4.5,4.2,Weinbaum,Alys
86%,4.3,3.4,Schnee,Ian
56%,2.9,3.2,Hilborn,Ray
N/A,4.5,2.6,Govedare,Philip
N/A,4.2,1.9,Henderson,Mike
N/A,3.4,3.5,Osborne,M. Scott
N/A,3.3,3.5,Kahr,Bart
N/A,3.8,2.7,Smith,Hart
N/A,4.0,3.0,Doran,Charles
N/A,4.7,2.0,Taradel,Ruggero
N/A,3.7,4.0,Ceccarelli,Leah
N/A,2.3,3.2,Van Dyck,Robert
N/A,3.5,4.0,Thomas,Lynn
N/A,4.8,2.4,Hengge,Jan
N/A,3.4,2.6,Rose,Elaina
N/A,4.1,3.4,Harkins,Gillian
N/A,4.2,3.2,Bunn,Steven
100%,4.8,2.9,Cushnie,Larry
N/A,3.2,3.3,Kaiser,Cheryl
N/A,3.6,2.8,Rosenfeld,Jake
N/A,4.7,2.9,Borgo,Seth
N/A,3.4,4.2,Aldridge,Edith
N/A,4.7,3.6,Bright,Eric
N/A,5.0,2.0,Skoric,Vanja
N/A,4.1,2.9,Lingo,Estelle
33%,3.0,3.2,Benson,Susan
N/A,2.8,3.8,Perlman,Michael
N/A,4.1,2.2,Nelson,Charles
N/A,3.1,3.2,Garvens,Ellen
N/A,4.2,1.8,Korynta,Kyle
N/A,4.7,3.1,Burnett,Rebecca
100%,4.8,2.6,Pedersen,Alice
N/A,4.5,2.4,Lundberg,Clark
N/A,4.9,2.5,Palmer,Geoff
N/A,4.2,3.4,Marini,Melissa
75%,4.2,2.1,Million,Dian
N/A,2.6,3.2,Secula,Nicole
67%,3.9,3.3,Billo,Timothy
N/A,4.7,3.1,Drpic,Ivan
N/A,3.6,2.5,Chan,Kenneth
64%,3.7,3.5,Anchordoguy,Marie
33%,2.5,3.5,Bergmann,Luke
100%,4.4,1.9,Taylor,Alyssa
N/A,4.6,1.9,Oxborrow,David
N/A,2.6,3.6,YE,Xiaofeng
N/A,3.5,2.9,Curtis,Jeff
N/A,2.7,2.1,Baland,Shawn
N/A,4.8,2.7,Won,Eunyoung
N/A,4.5,2.9,Quinn,Kevin
N/A,2.4,4.3,Muxin,Zhai
100%,4.8,2.6,Bessner,Daniel
100%,4.9,1.7,Terrasi,Shayna
80%,4.4,3.5,McNally,Debbie
N/A,3.5,3.3,Nemhauser,Jennifer
N/A,1.9,4.3,Bergamino,Jessica
N/A,2.4,3.9,Swain,Judith
N/A,4.5,2.1,Cote,Charlotte
100%,4.8,2.2,Ahuvia,Mika
77%,3.8,4.5,Zatloukal,Kevin
90%,4.4,3.5,Paun,Dorothy
100%,5.0,1.6,Clauss,James
100%,4.5,2.7,Powers,Matthew
100%,4.5,3.5,Ko,Amy
100%,4.8,2.5,Hushagen,Sam
8%,1.7,4.3,Faubion,Todd
N/A,4.8,3.5,Mitchell,Steve
N/A,4.6,2.7,Tompa,Martin
N/A,2.8,3.7,Greulich,Francis
N/A,3.4,2.4,Vogt,Daniel
N/A,3.3,3.0,Hadjimichalakis,Michael
N/A,4.1,2.5,Bohringer,Karl
N/A,4.2,3.1,Soldanova,Jaroslava
N/A,3.5,3.5,Lara,Jimmie
N/A,3.7,3.2,Hamilton,Gary
N/A,3.9,2.2,Eguchi,Mike
N/A,2.9,3.3,Miyamoto,John
N/A,2.5,2.5,Levi,Margaret
N/A,3.8,2.8,Adolph,Chris
N/A,3.6,2.9,Pianko,Noam
N/A,4.3,2.7,Mack,Ted
N/A,3.2,3.5,Trujillo,Simon
N/A,3.7,4.2,Wiseman,Wendy
N/A,3.5,2.4,Doty,Sharon
N/A,2.6,2.9,Herum,Ashley
N/A,2.8,3.6,Sugden,Evan
N/A,3.1,2.2,Vu,Cuong
N/A,4.5,2.3,Smorodinsky,Maya
N/A,3.5,4.0,Schmidt,Benjamin
N/A,3.2,3.3,Muller,Alan
N/A,4.3,1.5,Kapteyn,Jessica
N/A,4.5,3.3,Meyer,Andy
N/A,4.0,2.8,Agol,Eric
N/A,2.6,4.1,Wang,Dan
N/A,3.2,3.5,Gale,Ann
N/A,3.4,2.3,Barzilai,Gad
N/A,3.4,3.2,Patterson,Terris
N/A,4.8,2.6,Handel,Zev
N/A,4.2,2.5,Sbragia,Albert
N/A,1.8,2.7,Khakimova,Guzel
57%,3.8,2.7,Pengra,David
N/A,4.8,2.3,Kaufman,Mitch
N/A,3.5,4.0,Treser,Charles
N/A,3.4,2.2,Bitz,Cecilia
N/A,2.8,2.8,Deines,Alyson
N/A,3.1,3.0,Nam,Hwasook
N/A,3.6,3.4,Buck,Steve
N/A,4.6,1.3,Sjavik,Jan
N/A,5.0,2.0,Latsch,Wolfram
N/A,4.7,1.9,Moore,Sarah Kate
N/A,4.8,1.8,MacKenzie,Louisa
N/A,4.0,2.8,Chatterjee,Champak
N/A,4.0,3.2,Robbins,Blaine
N/A,5.0,1.4,Kim,Eunice
N/A,2.3,3.8,Bright,Ido
N/A,5.0,2.6,Devleming,Kristin
N/A,4.5,2.5,Phillips,Tom
80%,4.7,2.4,Peters,Nicole
N/A,3.0,3.1,Weston,Nathaniel
100%,5.0,2.5,Bald,Emily
N/A,4.2,4.1,Hunter,Max
N/A,4.3,2.6,Shao,Lian
80%,4.2,2.4,Van Eijk,Marieke
N/A,3.0,3.6,Cook,Caley
N/A,2.5,4.2,Sniadecki,Nathan
N/A,2.8,4.5,Sonnenberg,Bettina
100%,4.7,3.5,Mackenzie-Helnwein,Peter
N/A,2.5,4.0,Hasegawa,Kazumi
75%,4.0,3.4,Cheung,Alvin
50%,3.2,3.8,Mullen,Rory
50%,2.9,3.5,Beardsley,Jonathan
75%,3.5,3.0,Lingerfelt,David
N/A,4.6,2.9,Soder,Roger
88%,3.7,3.5,Ostendorf,Mari
75%,3.6,3.2,Lemieux,Scott
N/A,2.6,4.2,Viray,Bianca
92%,4.5,3.5,Senderovich,Sasha
100%,5.0,1.5,Naesby,Kristian
N/A,3.9,2.9,Muren,Dominic
100%,4.8,2.1,Webster,John
43%,4.2,2.5,O'Mara,Margaret
100%,4.5,3.1,Manhart,Lisa
63%,3.5,2.5,Lin,Lih
N/A,4.3,3.8,Dhavan,Purnima
30%,2.6,3.3,Kelly,Nicole
83%,4.3,3.5,Majumdar,Arka
88%,4.5,1.6,Clevenger-Bright,Mary
100%,5.0,2.6,Grollmus,Denise
86%,4.8,3.6,Polagye,Brian
83%,4.5,2.7,Barker,Scott
100%,4.7,2.5,Wiggins,Ellwood
100%,4.5,3.5,Vilavella Collins,Helene
N/A,2.6,3.2,Blake,Kathleen
N/A,2.8,2.2,Mamishev,Alexander
N/A,4.5,3.6,Lee,"John ""Jack"""
N/A,2.9,3.3,Klotz,Karrin
N/A,4.6,2.7,Morgan,Paige
N/A,4.5,2.1,Cinotto,Rhonda
N/A,3.6,2.6,Labitzke,Curt
N/A,3.6,2.4,Henderson,Mae
N/A,3.0,2.3,Rao,Y Krishna
N/A,4.3,2.6,Wassink,Alicia
N/A,4.0,2.6,Ahmed,Kamal
N/A,3.1,3.1,Wright,Robin
N/A,4.4,2.6,Ha,James
N/A,4.3,1.7,Clausen,Meredith
N/A,1.7,3.2,Wright,Mary
N/A,3.9,2.6,Thornton,Joel
N/A,2.1,4.6,Dee,Jennifer
N/A,4.5,2.4,Tremblay,Kelly
N/A,4.7,2.7,James,Emily
N/A,3.4,2.6,Sullivan,Woodruff
N/A,3.7,2.1,Cohen,Sarah
N/A,4.7,2.5,Anderson,Don
N/A,2.6,4.4,Brown,Jane
N/A,3.6,3.1,Oliveri,Vincent
N/A,2.7,2.1,Jones,Thomas
N/A,4.2,2.6,Siegel,Andrew
N/A,3.0,4.1,Matthews,Kristine
N/A,3.1,2.7,Prager,James
N/A,4.0,2.9,Hollmann,Alexander
N/A,4.0,2.5,Speser,Arendt
N/A,2.3,3.1,Ginorio,Angela
N/A,2.7,1.5,Caldieraro,Fabio
N/A,3.8,3.6,Cooper,Mark
N/A,4.8,1.8,Boyd,Kathleen
N/A,2.8,3.1,Starr,Larry
N/A,2.8,4.3,Hattar,Talal
N/A,4.4,2.3,Dougherty,Dawn
29%,2.5,2.9,Steele,Cynthia
100%,4.7,2.0,Levin-Richardson,Sarah
N/A,3.1,3.3,Eger,Maureen
N/A,2.5,3.5,Ng,Kara
N/A,2.6,3.6,Kapur,Kailash
N/A,3.6,3.0,Chiecchio,Alberto
N/A,4.7,2.4,Holmberg,David
N/A,4.0,2.7,Bilmes,Jeff
N/A,4.5,2.5,Arabshahi,Payman
N/A,3.9,1.6,Odell,Molly
N/A,3.1,3.5,Imaizumi,Takato
N/A,3.6,1.8,Paul,Justin
N/A,3.7,3.2,Radcliffe,Mary
N/A,5.0,1.4,Winegarden,Thomas
N/A,3.7,1.9,Coen,Elizabeth
N/A,2.4,3.7,Beame,Paul
N/A,2.6,3.0,Hoffman,Christopher
80%,4.0,3.1,Klapaki,Nektaria
N/A,3.3,4.1,Robles,Jessica
N/A,4.2,2.5,Tavlin,Zachary
N/A,4.3,2.6,Chen,Shi
N/A,3.4,3.8,Sanders,Rachel
N/A,1.7,3.6,Finque,Susan
N/A,3.3,3.3,Saha,Jagori
N/A,4.6,2.8,Thompson,Randy
100%,3.5,3.2,Otten,Jennifer
N/A,1.7,3.2,Li,Jiangyu
N/A,3.0,3.3,Welinske,Joe
55%,3.5,4.3,Rybka,Gray
46%,2.8,4.4,Schulz,Florian
N/A,4.4,3.5,Kimelman,David
N/A,4.6,2.5,McLain,Brian
100%,4.5,2.5,Enderle,Melanie
N/A,1.5,3.6,Jenekhe,Samson
N/A,3.3,2.6,Ruohola-Baker,Hannele
22%,2.5,3.7,Ma,Eva
9%,1.2,3.1,Hinke,Penny
N/A,2.4,3.1,HA,Yong-Chool
46%,2.5,3.8,Drusvyatskiy,Dmitriy
22%,1.7,3.5,Wilson,Margaret
55%,3.3,4.2,Zhuang,Castiel
100%,5.0,1.6,Oak,Samuel
100%,5.0,3.0,Gin,Craig
14%,2.7,4.5,Tuncel,Selim
50%,3.1,4.5,Traxler,Beth
100%,4.5,3.9,Cobden,David
N/A,1.6,4.4,King,James
N/A,3.9,2.9,Barrett,Kimberly
N/A,2.4,3.6,Kamara,Israela
N/A,4.3,3.0,Polack,Zoya
N/A,4.7,1.7,Voyles,Joe
N/A,3.0,3.1,Stovel,Katherine
N/A,4.6,2.8,Hamm,John Christopher
N/A,4.5,1.9,Jaussen,Paul
N/A,4.9,3.0,Gonyer-Donohue,Jen
N/A,4.6,2.6,Crimmins,Jonathan
N/A,4.0,4.2,Rice,Edward
N/A,3.5,1.6,Fan,Ming
N/A,4.9,2.6,Lam,Leo
N/A,4.2,2.6,Guy,R. Kent
N/A,3.4,3.3,Shields,David
N/A,3.6,2.5,Barlow,Candace
N/A,4.7,2.8,Lang,Sabine
N/A,3.5,3.0,Sears,Laurie
N/A,3.3,2.9,Ha,Renee
N/A,2.4,2.6,West,James
N/A,3.1,3.9,Ahn,Sang-gyeun
N/A,3.8,2.3,Buttler,Tasha
N/A,4.2,2.6,Gastil,John
N/A,4.3,2.8,Nittrouer,Chuck
N/A,4.9,3.7,Berg,John
N/A,3.1,2.4,Elizabeth,Nesbitt
N/A,3.3,1.3,Curtis,Edward
N/A,3.9,4.2,Fossati,Sebastian
N/A,4.4,2.4,Rosenberg,Jon
N/A,4.5,2.7,Yamasaki,Nobuko
N/A,4.3,3.3,El-Sharkawi,Mohamed
N/A,4.6,2.3,Boynton,Geoff
N/A,3.1,3.4,Squatrito,Theresa
N/A,4.4,2.9,Leissle,Kristy
N/A,3.4,1.6,Gavel-Adams,Ann-Charlotte
N/A,3.8,3.4,Beck,Darby
N/A,4.6,3.2,Johnston,Richard
N/A,4.0,3.9,Ochsner,Jeffrey
N/A,4.2,3.5,Dewenter,Kathryn
N/A,2.2,3.4,Tamura,Hiro
N/A,3.9,2.4,Wang,Xingting
N/A,4.3,2.6,McCoy,Renee
N/A,4.9,2.6,Kim,Soohee
N/A,2.7,4.4,Adler,Stuart
N/A,4.1,2.9,Myer,Kenneth
N/A,5.0,1.6,Sisodia,Gautam
N/A,4.1,2.5,Turnovsky,Geoffrey
N/A,4.4,2.0,Benchimol,Jason
N/A,3.5,4.2,Rosenberg,Leslie
N/A,4.0,2.3,Asah,Stanley
N/A,4.6,2.6,Hartzell-Nichols,Lauren
N/A,4.5,2.9,Polinger,Victor
N/A,1.7,3.3,Huber,Vandra
N/A,4.7,3.7,Rudnick,Christian
N/A,2.5,3.8,Adams,Loyce
N/A,4.0,2.4,Luscombe,Christine
N/A,3.8,3.6,Janosik,Jeff
100%,4.9,2.5,Knight,Jeffrey
N/A,2.1,4.1,Narayanan,Hariharan
N/A,3.0,2.8,Marchlewicz,Sara
N/A,4.8,1.2,Atienza,Richard
N/A,4.9,2.3,Shlizerman,Eli
N/A,4.6,3.0,Cerchiara,Jack
N/A,4.8,3.5,Ruzzo,Walter
100%,4.9,2.4,He,Belinda
75%,3.9,3.7,Stanley,Stephanie
N/A,4.8,2.2,Van Houdt,Jennifer
N/A,3.0,3.9,Graham,Christina
N/A,4.9,2.3,Bleecker,Alex
N/A,4.5,2.3,Ross,Luana
N/A,3.1,3.6,Farias,Monica
N/A,2.3,1.6,Miller,Zachary
100%,4.1,2.0,Burbacher,Thomas
30%,2.2,3.1,Ecker,Allan
100%,5.0,1.9,DeRosa,James
100%,4.7,3.0,Nelson,Alshakim
100%,5.0,3.5,Hong,Ning
N/A,3.7,2.5,Jian,Ge
83%,4.2,3.4,Roberts,Nathan
60%,3.3,3.0,Buick,Roger
60%,3.8,3.5,Kim,Junghee
100%,5.0,2.7,Roven,Samuel
N/A,3.8,3.3,Chandler,Mark
70%,3.8,2.8,Samin,Jalali
100%,4.9,2.2,Zambianchi,Patrick
20%,3.5,4.1,Stearns,Elizabeth
83%,4.0,2.9,Masiello,David
100%,4.7,3.4,Godoy,Angelina
63%,3.8,4.5,Neils,Chris
83%,4.3,2.8,Govindrajan,Radhika
N/A,4.5,3.2,Reid,Brian
60%,4.4,3.6,Harrington,James
N/A,3.6,3.2,Gamelin,Daniel
N/A,2.6,2.8,Lowe,Celia
N/A,4.6,3.3,Coldewey,John
N/A,4.2,2.4,Parker,Shanga
N/A,3.8,3.4,Gupta,Maya
N/A,1.2,3.0,Klausenburger,Jurgen
N/A,3.9,2.1,Borning,Alan
N/A,3.6,3.3,Berger,Robert
N/A,3.8,2.4,Sommerville,Jessica
N/A,4.9,2.4,Buckner,David
N/A,3.6,4.3,Ellis,Steve
N/A,4.7,2.2,Takamori,Akio
100%,5.0,3.8,Kenney,Richard
N/A,5.0,2.4,Bliquez,Lawerence
N/A,3.1,3.4,Hargens,Lowell
N/A,4.6,2.1,Gilroy,Francesca
N/A,2.7,3.7,Shorack,Galen
N/A,3.0,3.0,Leehey,Jennifer
N/A,4.2,3.1,Einhorn,Lee
N/A,4.3,3.2,Roesler,Axel
N/A,2.5,2.6,Rehr,John
N/A,3.6,3.0,Williams,Misti
N/A,4.7,2.3,Meng,Yuqiu
N/A,4.1,2.4,Solontoi,Mike
N/A,4.6,2.0,Lucia,Katie
N/A,5.0,2.2,Wyers,Giselle
N/A,3.6,3.8,Christie,Rich
N/A,4.3,2.9,Woiak,Joanne
N/A,4.4,1.7,Bruce,Neil
N/A,4.0,2.8,Le,Samuel
N/A,4.7,2.6,Aufrecht,Monica
N/A,2.3,3.7,Wong,Kar-Yiu
N/A,3.4,2.7,Zhang,Yifan
N/A,3.2,2.4,Sullivan,Jeremiah
N/A,4.7,2.8,Domigpe,Jiedson
N/A,2.0,3.4,Thompson,Elizabeth
N/A,4.6,2.8,Wilson,Gregory
N/A,4.4,1.7,Colonnese,Tom
N/A,4.0,3.0,Terry,James
71%,4.0,3.5,Janes,Joe
N/A,4.6,4.1,Olmstead,Richard
N/A,4.4,3.4,Awan,Fareed
N/A,4.0,3.8,Lee,James
N/A,5.0,2.8,Sullivan,Mark
N/A,4.3,2.9,Zivot,Eric
N/A,3.9,3.0,Golden,Amanda
N/A,3.5,3.2,Papakonstantinou,Zinon
N/A,3.8,4.1,Maestas,Nadine
N/A,3.8,2.7,Sun,Ming-Ting
N/A,3.6,3.0,Craig,Gianna
N/A,2.6,3.2,Mendoza,Marites
100%,4.3,3.3,Gillman,Maria
N/A,2.1,2.9,Lee,Daeyong
N/A,4.7,2.8,Kale,Sunila
N/A,4.4,1.8,Barrack,Charles
N/A,2.5,3.3,Stephens,Benjamin
N/A,2.9,3.2,Freimuth,Michael
N/A,2.6,3.1,Jaegle,Lyatt
N/A,2.7,4.2,Allstot,David
N/A,3.5,3.2,Brush,Lucien
N/A,3.3,2.9,Willet,Mischa
N/A,1.5,3.9,Chen,Yi An
N/A,4.2,2.2,Finney,Eric
N/A,4.8,2.0,Lee,Hedwig
N/A,4.8,1.3,Becherer,Kendall
N/A,4.4,1.9,Baraboi,Otilia
N/A,4.3,1.4,Wirth,Ben
N/A,3.7,3.0,Harmon,James
N/A,3.5,1.8,Liapis,Stephanie
N/A,3.9,3.1,Vidrine,Bonnie
N/A,3.7,2.9,Hardison,Brian
N/A,4.8,2.5,Stewart,Jared
N/A,2.6,3.7,Rothvoss,Thomas
50%,2.1,2.6,Shi,Richard
N/A,2.9,4.1,Sohn,Ilsu
75%,4.0,3.9,Kramlich,John
N/A,4.3,2.9,Biermann,Christine
N/A,3.7,3.3,Hauser,Lorenz
100%,4.8,2.0,Ramadas,Harishchandra
100%,4.8,1.9,Barwise,Claire
50%,2.7,2.7,Scherba,Steve
100%,4.9,2.5,Milian,Patrick
11%,1.8,3.6,Grobelski,Tiffany
44%,2.9,2.9,Schleitwiler,Vincent
78%,3.8,3.6,Cecil,Daniel
100%,4.6,3.0,Schabram,Kira
78%,3.9,3.7,Groening,Stephen
44%,2.5,3.2,Athreya,Jayadev
33%,2.4,2.8,Grossbard,Joel
100%,4.7,3.4,Pal,Deep
89%,4.6,2.2,Buchanan,Patricia
44%,3.5,3.4,Nguyen,Linh
100%,5.0,3.5,Stoll,Stefan
88%,4.6,3.2,Baseman,Janet
N/A,3.8,2.1,Gao,Dayong
100%,5.0,3.0,Crowley,John
88%,4.3,3.2,Meyers,Stephen
N/A,4.9,2.1,Gowing,Alain
N/A,3.2,4.1,Mizumori,Sheri
78%,3.9,3.5,Burns,Gust
60%,3.6,4.3,Ghironi,Fabio
N/A,2.5,3.5,Qian,Hong
N/A,3.3,4.1,Pahlajrai,Prem
29%,2.7,3.0,Hemingway,Bruce
N/A,3.6,3.0,Datta,Robin
43%,2.6,3.2,Arai,Andrea
N/A,4.9,4.2,Morrow,Jim
100%,5.0,1.2,Gleason,Richard
N/A,4.0,2.5,Watts,Richard
N/A,3.1,2.7,Goh,Boon
78%,4.1,3.5,Braune,Lucas
N/A,4.6,2.6,Shields,Juliet
N/A,3.4,2.6,Gara,Bob
N/A,3.7,3.4,Curtis,Emily
N/A,2.4,4.4,Nester,Eugene
N/A,4.0,2.8,Karch,Andreas
N/A,3.2,2.5,Tewksbury,Josh
